Away,Home,Result,Date
CHI,ATL,1,2024-02-12
DEN,MIL,0,2024-02-12
GSW,UTA,1,2024-02-12
IND,CHO,0,2024-02-12
MIN,LAC,1,2024-02-12
NOP,MEM,1,2024-02-12
NYK,HOU,0,2024-02-12
PHI,CLE,1,2024-02-12
SAS,TOR,1,2024-02-12
WAS,DAL,0,2024-02-12
BOS,BRK,1,2024-02-13
DET,LAL,0,2024-02-13
MIA,MIL,1,2024-02-13
MIN,POR,1,2024-02-13
OKC,ORL,1,2024-02-13
SAC,PHO,0,2024-02-13
ATL,CHO,0,2024-02-14
BRK,BOS,0,2024-02-14
CHI,CLE,0,2024-02-14
DET,PHO,0,2024-02-14
HOU,MEM,0,2024-02-14
IND,TOR,1,2024-02-14
LAC,GSW,1,2024-02-14
LAL,UTA,1,2024-02-14
MIA,PHI,1,2024-02-14
NYK,ORL,0,2024-02-14
SAC,DEN,1,2024-02-14
SAS,DAL,0,2024-02-14
WAS,NOP,0,2024-02-14
GSW,UTA,1,2024-02-15
MIL,MEM,0,2024-02-15
MIN,POR,1,2024-02-15
BOS,CHI,1,2024-02-22
BRK,TOR,0,2024-02-22
CHO,UTA,1,2024-02-22
DET,IND,0,2024-02-22
HOU,NOP,0,2024-02-22
LAC,OKC,0,2024-02-22
LAL,GSW,0,2024-02-22
NYK,PHI,1,2024-02-22
ORL,CLE,1,2024-02-22
